
########################################################################
#      Date:           Sun 30 May 2021 04:37:25 AM PDT
#    Job ID:           881046.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=00:45:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
blis_parallel,cpu,24 4 4 1024 1024 3 3,1.281,1.293,1.290,1.261
blis_parallel,cpu,32 4 4 1024 1024 3 3,1.599,1.588,1.589,1.617
blis_parallel,cpu,40 4 4 1024 1024 3 3,1.931,1.912,1.917,1.898
blis_parallel,cpu,48 4 4 1024 1024 3 3,2.248,2.254,2.252,2.233
blis_parallel,cpu,56 4 4 1024 1024 3 3,2.577,2.582,2.599,2.563
blis_parallel,cpu,64 4 4 1024 1024 3 3,2.913,2.971,2.985,2.896
blis_parallel,cpu,72 4 4 1024 1024 3 3,3.215,3.228,3.243,3.207
blis_parallel,cpu,80 4 4 1024 1024 3 3,3.552,3.540,3.559,3.538
direct_onednn,cpu,8 4 4 1024 1024 3 3,2.107,0.429,0.424,0.438
direct_onednn,cpu,16 4 4 1024 1024 3 3,0.679,0.711,0.694,0.708
direct_onednn,cpu,24 4 4 1024 1024 3 3,0.979,1.004,0.954,0.984
direct_onednn,cpu,32 4 4 1024 1024 3 3,1.233,1.202,1.233,1.234
direct_onednn,cpu,40 4 4 1024 1024 3 3,1.533,1.525,1.523,1.571
direct_onednn,cpu,48 4 4 1024 1024 3 3,1.785,1.798,1.785,1.789
direct_onednn,cpu,56 4 4 1024 1024 3 3,2.014,2.082,2.065,2.076
direct_onednn,cpu,64 4 4 1024 1024 3 3,2.356,2.355,2.332,2.342
direct_onednn,cpu,72 4 4 1024 1024 3 3,2.637,2.613,2.599,2.586
direct_onednn,cpu,80 4 4 1024 1024 3 3,2.903,2.919,2.855,2.882
gemm_onednn,cpu,8 4 4 1024 1024 3 3,0.544,0.457,0.466,0.469
gemm_onednn,cpu,16 4 4 1024 1024 3 3,0.737,0.762,0.744,0.841
gemm_onednn,cpu,24 4 4 1024 1024 3 3,1.066,1.061,1.037,1.054
gemm_onednn,cpu,32 4 4 1024 1024 3 3,1.354,1.343,1.376,1.369
gemm_onednn,cpu,40 4 4 1024 1024 3 3,1.647,1.632,1.634,1.650
gemm_onednn,cpu,48 4 4 1024 1024 3 3,1.929,1.921,2.000,1.952
gemm_onednn,cpu,56 4 4 1024 1024 3 3,2.267,2.209,2.246,2.224
gemm_onednn,cpu,64 4 4 1024 1024 3 3,2.523,2.484,2.588,2.525
gemm_onednn,cpu,72 4 4 1024 1024 3 3,2.849,2.766,2.824,2.837
gemm_onednn,cpu,80 4 4 1024 1024 3 3,3.111,3.152,3.096,3.133
direct_parallel,gpu,8 4 4 1024 1024 3 3,0.700,0.698,0.722,0.706
direct_parallel,gpu,16 4 4 1024 1024 3 3,1.174,1.174,1.187,1.170
direct_parallel,gpu,24 4 4 1024 1024 3 3,1.670,1.686,1.679,1.679
direct_parallel,gpu,32 4 4 1024 1024 3 3,2.112,2.131,2.132,2.132
direct_parallel,gpu,40 4 4 1024 1024 3 3,2.623,2.626,2.632,2.595
direct_parallel,gpu,48 4 4 1024 1024 3 3,3.045,3.128,3.104,3.094
direct_parallel,gpu,56 4 4 1024 1024 3 3,3.599,3.532,3.574,3.579
direct_parallel,gpu,64 4 4 1024 1024 3 3,4.023,3.998,4.038,4.027
direct_parallel,gpu,72 4 4 1024 1024 3 3,4.544,4.469,4.530,4.538
direct_parallel,gpu,80 4 4 1024 1024 3 3,4.984,5.018,4.961,4.975
gemm_parallel,gpu,8 4 4 1024 1024 3 3,1.673,1.652,1.654,1.685
gemm_parallel,gpu,16 4 4 1024 1024 3 3,2.911,2.943,2.902,2.900
gemm_parallel,gpu,24 4 4 1024 1024 3 3,4.221,4.208,4.263,4.210
gemm_parallel,gpu,32 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,40 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,48 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,56 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,64 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,72 4 4 1024 1024 3 3,,,,
gemm_parallel,gpu,80 4 4 1024 1024 3 3,,,,
blis_parallel,gpu,8 4 4 1024 1024 3 3,0.591,0.594,0.587,0.595
blis_parallel,gpu,16 4 4 1024 1024 3 3,0.945,0.947,0.924,0.928
blis_parallel,gpu,24 4 4 1024 1024 3 3,1.331,1.308,1.300,1.308
blis_parallel,gpu,32 4 4 1024 1024 3 3,1.594,1.592,1.576,1.587
blis_parallel,gpu,40 4 4 1024 1024 3 3,2.035,2.046,2.051,2.055
blis_parallel,gpu,48 4 4 1024 1024 3 3,2.268,2.243,2.268,2.233
blis_parallel,gpu,56 4 4 1024 1024 3 3,2.765,2.740,2.746,2.717
blis_parallel,gpu,64 4 4 1024 1024 3 3,2.861,2.863,2.907,2.881
blis_parallel,gpu,72 4 4 1024 1024 3 3,3.479,3.423,3.419,3.490
blis_parallel,gpu,80 4 4 1024 1024 3 3,3.573,3.563,3.536,3.547
direct_onednn,gpu,8 4 4 1024 1024 3 3,2.008,1.959,1.962,1.968
direct_onednn,gpu,16 4 4 1024 1024 3 3,2.616,2.643,2.628,2.649
direct_onednn,gpu,24 4 4 1024 1024 3 3,3.242,3.240,3.289,3.255
direct_onednn,gpu,32 4 4 1024 1024 3 3,3.823,3.793,3.779,3.808
direct_onednn,gpu,40 4 4 1024 1024 3 3,4.106,4.100,4.114,4.113
direct_onednn,gpu,48 4 4 1024 1024 3 3,4.726,4.686,4.715,4.711
direct_onednn,gpu,56 4 4 1024 1024 3 3,5.002,5.042,5.037,5.034
direct_onednn,gpu,64 4 4 1024 1024 3 3,,,,
direct_onednn,gpu,72 4 4 1024 1024 3 3,,,,
direct_onednn,gpu,80 4 4 1024 1024 3 3,,,,
gemm_onednn,gpu,8 4 4 1024 1024 3 3,0.851,0.867,0.871,0.867
gemm_onednn,gpu,16 4 4 1024 1024 3 3,1.146,1.161,1.156,1.154
gemm_onednn,gpu,24 4 4 1024 1024 3 3,1.464,1.471,1.472,1.483
gemm_onednn,gpu,32 4 4 1024 1024 3 3,1.767,1.755,1.745,1.746
gemm_onednn,gpu,40 4 4 1024 1024 3 3,2.057,2.055,2.054,2.041
gemm_onednn,gpu,48 4 4 1024 1024 3 3,2.346,2.334,2.356,2.355
gemm_onednn,gpu,56 4 4 1024 1024 3 3,2.651,2.678,2.648,2.668
gemm_onednn,gpu,64 4 4 1024 1024 3 3,2.936,3.017,2.928,2.937
gemm_onednn,gpu,72 4 4 1024 1024 3 3,3.256,3.225,3.232,3.225
gemm_onednn,gpu,80 4 4 1024 1024 3 3,3.532,3.521,3.475,3.569
winograd_onednn,gpu,8 4 4 1024 1024 3 3,2.334,1.903,1.887,1.878
winograd_onednn,gpu,16 4 4 1024 1024 3 3,2.588,2.558,2.586,2.599
winograd_onednn,gpu,24 4 4 1024 1024 3 3,3.098,3.113,3.066,3.093
