
########################################################################
#      Date:           Wed Jun 16 14:13:59 PDT 2021
#    Job ID:           898811.v-qsvr-1.aidevcloud
#      User:           u74824
# Resources:           neednodes=1:gold6128:ppn=2,nodes=1:gold6128:ppn=2,walltime=01:00:00
########################################################################

executable,device,parameters,time1,time2,time3,time4
blis_parallel,cpu,24 4 4 1024 1024 3 3,1.832,1.827,1.847,1.811
blis_parallel,cpu,32 4 4 1024 1024 3 3,1.703,1.748,1.705,1.709
blis_parallel,cpu,40 4 4 1024 1024 3 3,2.439,2.440,2.436,2.505
blis_parallel,cpu,48 4 4 1024 1024 3 3,2.352,2.323,2.343,2.347
blis_parallel,cpu,56 4 4 1024 1024 3 3,3.087,3.075,3.068,3.065
blis_parallel,cpu,64 4 4 1024 1024 3 3,2.956,2.965,2.952,2.961
blis_parallel,cpu,72 4 4 1024 1024 3 3,3.693,3.736,3.798,3.702
blis_parallel,cpu,80 4 4 1024 1024 3 3,3.629,3.658,3.633,3.693
direct_onednn,cpu,8 4 4 1024 1024 3 3,0.678,0.664,0.638,0.627
direct_onednn,cpu,16 4 4 1024 1024 3 3,0.977,0.974,0.989,0.986
direct_onednn,cpu,24 4 4 1024 1024 3 3,1.424,1.337,1.352,1.319
direct_onednn,cpu,32 4 4 1024 1024 3 3,1.695,1.693,1.682,1.784
direct_onednn,cpu,40 4 4 1024 1024 3 3,2.132,2.168,2.209,2.131
direct_onednn,cpu,48 4 4 1024 1024 3 3,2.486,2.538,2.476,2.513
direct_onednn,cpu,56 4 4 1024 1024 3 3,3.230,3.241,3.207,3.227
direct_onednn,cpu,64 4 4 1024 1024 3 3,3.537,3.510,3.559,3.532
direct_onednn,cpu,72 4 4 1024 1024 3 3,4.009,4.014,3.918,3.995
direct_onednn,cpu,80 4 4 1024 1024 3 3,4.354,4.408,4.382,4.373
gemm_onednn,cpu,8 4 4 1024 1024 3 3,0.674,0.686,0.653,0.690
gemm_onednn,cpu,16 4 4 1024 1024 3 3,0.995,1.025,1.060,1.036
gemm_onednn,cpu,24 4 4 1024 1024 3 3,1.330,1.419,1.381,1.387
gemm_onednn,cpu,32 4 4 1024 1024 3 3,1.775,2.047,1.759,1.862
gemm_onednn,cpu,40 4 4 1024 1024 3 3,2.204,2.124,2.179,2.198
gemm_onednn,cpu,48 4 4 1024 1024 3 3,2.852,2.608,3.078,3.158
gemm_onednn,cpu,56 4 4 1024 1024 3 3,2.876,3.009,3.646,3.296
gemm_onednn,cpu,64 4 4 1024 1024 3 3,3.652,3.735,3.634,3.662
gemm_onednn,cpu,72 4 4 1024 1024 3 3,3.970,4.260,4.039,3.975
gemm_onednn,cpu,80 4 4 1024 1024 3 3,4.427,4.387,4.635,4.553

########################################################################
# End of output for job 898811.v-qsvr-1.aidevcloud
# Date: Wed Jun 16 14:44:10 PDT 2021
########################################################################
